City,Province,Latitude...3,Longitude...4,full_address,Latitude...6,Longitude...7
Appleton,Newfoundland,NA,NA,"Appleton, Newfoundland, Canada",48.9820913,-54.8621069
Apsley,Ontario,NA,NA,"Apsley, Ontario, Canada",44.7548031,-78.0863813
Arden,Ontario,NA,NA,"Arden, Ontario, Canada",44.7207522,-76.924124
Argentia,Newfoundland,NA,NA,"Argentia, Newfoundland, Canada",47.2902236,-53.9917654
Argyle,Nova Scotia,NA,NA,"Argyle, Nova Scotia, Canada",43.7955169,-65.8566777
Arichat,Nova Scotia,NA,NA,"Arichat, Nova Scotia, Canada",45.512036,-61.015145
Arkell,Ontario,NA,NA,"Arkell, Ontario, Canada",43.537002,-80.1689352
Arkona,Ontario,NA,NA,"Arkona, Ontario, Canada",43.0734025,-81.8340336
Armstrong,Ontario,NA,NA,"Armstrong, Ontario, Canada",50.302131,-89.0373698
Arnold`s Cove,Newfoundland,NA,NA,"Arnold`s Cove, Newfoundland, Canada",47.7601262,-53.9830897
Arnprior,Ontario,NA,NA,"Arnprior, Ontario, Canada",45.433515,-76.3543692
Arthur,Ontario,NA,NA,"Arthur, Ontario, Canada",43.8309446,-80.5355526
Athens,Ontario,NA,NA,"Athens, Ontario, Canada",44.625942,-75.952256
Atikokan,Ontario,NA,NA,"Atikokan, Ontario, Canada",48.762526,-91.624603
Attawapiskat,Ontario,NA,NA,"Attawapiskat, Ontario, Canada",52.9244075,-82.4270112
Atwood,Ontario,NA,NA,"Atwood, Ontario, Canada",43.6669112,-81.0202088
Auburn,Ontario,NA,NA,"Auburn, Ontario, Canada",43.7730136,-81.5318407
Aurora,Ontario,NA,NA,"Aurora, Ontario, Canada",43.99973,-79.467545
Avondale,Newfoundland,NA,NA,"Avondale, Newfoundland, Canada",47.4201633,-53.1921839
Avonmore,Ontario,NA,NA,"Avonmore, Ontario, Canada",45.1720234,-74.9670736
Aylesford,Nova Scotia,NA,NA,"Aylesford, Nova Scotia, Canada",45.028162,-64.8364288
Aylmer,Ontario,NA,NA,"Aylmer, Ontario, Canada",42.773227,-80.983658
Ayr,Ontario,NA,NA,"Ayr, Ontario, Canada",43.2855122,-80.4507012
Ayton,Ontario,NA,NA,"Ayton, Ontario, Canada",44.0536677,-80.9256363
Azilda,Ontario,NA,NA,"Azilda, Ontario, Canada",46.5521017,-81.1148103
Baddeck,Nova Scotia,NA,NA,"Baddeck, Nova Scotia, Canada",46.0996814,-60.7535526
Baden,Ontario,NA,NA,"Baden, Ontario, Canada",43.40378,-80.668923
Badger,Newfoundland,NA,NA,"Badger, Newfoundland, Canada",48.978414,-56.044006
Baie Verte,Newfoundland,NA,NA,"Baie Verte, Newfoundland, Canada",49.938848,-56.196442
Baie-Ste-Anne,New Brunswick,NA,NA,"Baie-Ste-Anne, New Brunswick, Canada",47.0472588,-64.9625674
Bailieboro,Ontario,NA,NA,"Bailieboro, Ontario, Canada",44.132078,-78.3531591
Baker Brook,New Brunswick,NA,NA,"Baker Brook, New Brunswick, Canada",47.3522383,-68.5302372
Bala,Ontario,NA,NA,"Bala, Ontario, Canada",45.0176521,-79.6169784
Balmertown,Ontario,NA,NA,"Balmertown, Ontario, Canada",51.0570189,-93.743896
Balmoral,New Brunswick,NA,NA,"Balmoral, New Brunswick, Canada",47.9626118,-66.4870765
Baltimore,Ontario,NA,NA,"Baltimore, Ontario, Canada",44.0183887,-78.1474808
Bancroft,Ontario,NA,NA,"Bancroft, Ontario, Canada",45.0570769,-77.8537127
Barrie,Ontario,NA,NA,"Barrie, Ontario, Canada",44.3893208,-79.6901302
Barry`s Bay,Ontario,NA,NA,"Barry`s Bay, Ontario, Canada",45.488298,-77.679176
Barwick,Ontario,NA,NA,"Barwick, Ontario, Canada",48.6470474,-93.9848646
Bass River,Nova Scotia,NA,NA,"Bass River, Nova Scotia, Canada",45.4138767,-63.7794117
Batawa,Ontario,NA,NA,"Batawa, Ontario, Canada",44.1708444,-77.5951922
Batchawana Bay,Ontario,NA,NA,"Batchawana Bay, Ontario, Canada",46.8818703,-84.4831314
Bath,New Brunswick,NA,NA,"Bath, New Brunswick, Canada",46.5119155,-67.5944492
Bath,Ontario,NA,NA,"Bath, Ontario, Canada",44.1830254,-76.7756561
Bathurst,New Brunswick,NA,NA,"Bathurst, New Brunswick, Canada",47.6208671,-65.6537546
Batteau,Newfoundland,NA,NA,"Batteau, Newfoundland, Canada",50.7362085,-56.1037798
Battle Harbour,Newfoundland,NA,NA,"Battle Harbour, Newfoundland, Canada",52.2724965,-55.5837053
Bauline,Newfoundland,NA,NA,"Bauline, Newfoundland, Canada",47.7044821,-52.8370958
Bay Bulls,Newfoundland,NA,NA,"Bay Bulls, Newfoundland, Canada",47.3176239,-52.8167185
Bay de Verde,Newfoundland,NA,NA,"Bay de Verde, Newfoundland, Canada",48.0859357,-52.89576
Bay L`Argent,Newfoundland,NA,NA,"Bay L`Argent, Newfoundland, Canada",47.5442486,-54.8982415
Bay Roberts,Newfoundland,NA,NA,"Bay Roberts, Newfoundland, Canada",47.575924,-53.2833409
Bayfield,Ontario,NA,NA,"Bayfield, Ontario, Canada",43.5609982,-81.6959031
Baysville,Ontario,NA,NA,"Baysville, Ontario, Canada",45.1497562,-79.1151352
Beachburg,Ontario,NA,NA,"Beachburg, Ontario, Canada",45.7328559,-76.8559063
Beachville,Ontario,NA,NA,"Beachville, Ontario, Canada",43.0906453,-80.8293773
Beamsville,Ontario,NA,NA,"Beamsville, Ontario, Canada",43.1654577,-79.4751839
Bear River,Nova Scotia,NA,NA,"Bear River, Nova Scotia, Canada",44.5788526,-65.635586
Beardmore,Ontario,NA,NA,"Beardmore, Ontario, Canada",49.5998657,-87.9576817
Bearskin Lake,Ontario,NA,NA,"Bearskin Lake, Ontario, Canada",53.9256186,-90.9683392
Bearskin Lake First Nation,Ontario,NA,NA,"Bearskin Lake First Nation, Ontario, Canada",53.8752617,-90.911954
Bear`s Passage,Ontario,NA,NA,"Bear`s Passage, Ontario, Canada",48.6898123,-92.9997533
Beaucanton,Quebec,NA,NA,"Beaucanton, Quebec, Canada",49.0389794,-79.2365589
Beauceville,Quebec,NA,NA,"Beauceville, Quebec, Canada",46.210725,-70.774269
Beauharnois,Quebec,NA,NA,"Beauharnois, Quebec, Canada",45.3139778,-73.875834
Beaulac-Garthby,Quebec,NA,NA,"Beaulac-Garthby, Quebec, Canada",45.8340246,-71.3801639
Beaumont,Alberta,NA,NA,"Beaumont, Alberta, Canada",53.3525496,-113.4151434
Beaumont,Newfoundland,NA,NA,"Beaumont, Newfoundland, Canada",49.6140846,-55.6786192
Beaumont,Quebec,NA,NA,"Beaumont, Quebec, Canada",46.8293593,-71.0105418
Beauport,Quebec,NA,NA,"Beauport, Quebec, Canada",46.8983492,-71.2062892
Beaupre,Quebec,NA,NA,"Beaupre, Quebec, Canada",47.043926,-70.892029
Beausejour,Manitoba,NA,NA,"Beausejour, Manitoba, Canada",50.0619312,-96.5140821
Beauval,Saskatchewan,NA,NA,"Beauval, Saskatchewan, Canada",55.1456837,-107.6106589
Beaver Cove,British Columbia,NA,NA,"Beaver Cove, British Columbia, Canada",50.5398806,-126.864918
Beaver Creek,Yukon,NA,NA,"Beaver Creek, Yukon, Canada",62.3772719,-140.8925445
Beaverdell,British Columbia,NA,NA,"Beaverdell, British Columbia, Canada",49.4343519,-119.0884516
Beaverlodge,Alberta,NA,NA,"Beaverlodge, Alberta, Canada",55.2106188,-119.4286716
Beaverton,Ontario,NA,NA,"Beaverton, Ontario, Canada",44.4296227,-79.1550193
Becancour,Quebec,NA,NA,"Becancour, Quebec, Canada",46.3415746,-72.4335088
Bedeque,Prince Edward Island,NA,NA,"Bedeque, Prince Edward Island, Canada",46.3366204,-63.7239484
Bedford,Quebec,NA,NA,"Bedford, Quebec, Canada",45.1205194,-72.9885161
Beechy,Saskatchewan,NA,NA,"Beechy, Saskatchewan, Canada",50.8784808,-107.3842256
Beeton,Ontario,NA,NA,"Beeton, Ontario, Canada",44.0789618,-79.784557
Beiseker,Alberta,NA,NA,"Beiseker, Alberta, Canada",51.3852192,-113.5383076
Bell Island,Newfoundland,NA,NA,"Bell Island, Newfoundland, Canada",47.6256619,-52.9669443
Bella Bella,British Columbia,NA,NA,"Bella Bella, British Columbia, Canada",52.1625615,-128.145207
Bella Coola,British Columbia,NA,NA,"Bella Coola, British Columbia, Canada",52.3723035,-126.7556778
Belle Neige,Quebec,NA,NA,"Belle Neige, Quebec, Canada",46.0020683,-74.2195834
Belle River,Ontario,NA,NA,"Belle River, Ontario, Canada",42.2928986,-82.7113352
Belledune,New Brunswick,NA,NA,"Belledune, New Brunswick, Canada",47.8926616,-65.8237545
Bellefeuille,Quebec,NA,NA,"Bellefeuille, Quebec, Canada",45.7856278,-74.0798851
Belleoram,Newfoundland,NA,NA,"Belleoram, Newfoundland, Canada",47.5252228,-55.4118181
Belleterre,Quebec,NA,NA,"Belleterre, Quebec, Canada",47.3905166,-78.7042972
Belleville,Ontario,NA,NA,"Belleville, Ontario, Canada",44.2436328,-77.3607597
Bellevue,Newfoundland,NA,NA,"Bellevue, Newfoundland, Canada",47.636061,-53.7300322
Belmont,Manitoba,NA,NA,"Belmont, Manitoba, Canada",49.4099168,-99.4567713
Belmont,Ontario,NA,NA,"Belmont, Ontario, Canada",42.884066,-81.0880562
Beloeil,Quebec,NA,NA,"Beloeil, Quebec, Canada",45.5643183,-73.2040066
Bengough,Saskatchewan,NA,NA,"Bengough, Saskatchewan, Canada",49.3957345,-105.1262065
Benito,Manitoba,NA,NA,"Benito, Manitoba, Canada",51.916667,-101.55
Benoit`s Cove,Newfoundland,NA,NA,"Benoit`s Cove, Newfoundland, Canada",49.0081135,-58.1275017
Bentley,Alberta,NA,NA,"Bentley, Alberta, Canada",52.4685411,-114.0432772
Berens River,Manitoba,NA,NA,"Berens River, Manitoba, Canada",52.1149192,-94.6877695
Beresford,New Brunswick,NA,NA,"Beresford, New Brunswick, Canada",47.7047087,-65.7032868
Bergeronnes,Quebec,NA,NA,"Bergeronnes, Quebec, Canada",48.243882,-69.545517
Berthierville,Quebec,NA,NA,"Berthierville, Quebec, Canada",46.0828098,-73.1747099
Berwick,Nova Scotia,NA,NA,"Berwick, Nova Scotia, Canada",45.0455684,-64.7362073
Berwyn,Alberta,NA,NA,"Berwyn, Alberta, Canada",56.149407,-117.7329774
Bethany,Ontario,NA,NA,"Bethany, Ontario, Canada",44.1825847,-78.5667944
Bethesda,Ontario,NA,NA,"Bethesda, Ontario, Canada",43.966696,-79.3569532
Bethune,Saskatchewan,NA,NA,"Bethune, Saskatchewan, Canada",50.7111769,-105.2082321
Betsiamites,Quebec,NA,NA,"Betsiamites, Quebec, Canada",48.9415643,-68.6409135
Beulah,Manitoba,NA,NA,"Beulah, Manitoba, Canada",50.2603215,-101.0334489
Biencourt,Quebec,NA,NA,"Biencourt, Quebec, Canada",47.936587,-68.606186
Bienfait,Saskatchewan,NA,NA,"Bienfait, Saskatchewan, Canada",49.1430312,-102.804069
Big River,Saskatchewan,NA,NA,"Big River, Saskatchewan, Canada",53.833333,-107.033333
Big Trout Lake,Ontario,NA,NA,"Big Trout Lake, Ontario, Canada",53.7824994,-90.1456761
Big Valley,Alberta,NA,NA,"Big Valley, Alberta, Canada",52.0340881,-112.753278
Biggar,Saskatchewan,NA,NA,"Biggar, Saskatchewan, Canada",52.0576499,-107.984618
Binbrook,Ontario,NA,NA,"Binbrook, Ontario, Canada",43.1208666,-79.8044114
Bindloss,Alberta,NA,NA,"Bindloss, Alberta, Canada",50.8801321,-110.2755087
Binscarth,Manitoba,NA,NA,"Binscarth, Manitoba, Canada",50.6253639,-101.2832312
Birch Hills,Saskatchewan,NA,NA,"Birch Hills, Saskatchewan, Canada",52.984204,-105.433044
Birch Island,Ontario,NA,NA,"Birch Island, Ontario, Canada",49.9683189,-94.6678429
Birchy Bay,Newfoundland,NA,NA,"Birchy Bay, Newfoundland, Canada",49.3360435,-54.7546065
Birsay,Saskatchewan,NA,NA,"Birsay, Saskatchewan, Canada",51.0966922,-106.9807939
Birtle,Manitoba,NA,NA,"Birtle, Manitoba, Canada",50.4218411,-101.0462012
Biscotasing,Ontario,NA,NA,"Biscotasing, Ontario, Canada",47.3001416,-82.102965
Bishopton,Quebec,NA,NA,"Bishopton, Quebec, Canada",45.583817,-71.5754826
Bishop`s Falls,Newfoundland,NA,NA,"Bishop`s Falls, Newfoundland, Canada",49.0153498,-55.5019426
Bissett,Manitoba,NA,NA,"Bissett, Manitoba, Canada",56.3967361,-100.264782
Black Creek,British Columbia,NA,NA,"Black Creek, British Columbia, Canada",49.8330021,-125.1291887
Black Diamond,Alberta,NA,NA,"Black Diamond, Alberta, Canada",50.6887537,-114.2386697
Black Duck Cove,Newfoundland,NA,NA,"Black Duck Cove, Newfoundland, Canada",51.194573,-56.7947057
Black Lake,Quebec,NA,NA,"Black Lake, Quebec, Canada",46.0474204,-71.3696194
Black Point,British Columbia,NA,NA,"Black Point, British Columbia, Canada",50.7791438,-119.0172287
Black Tickle,Newfoundland,NA,NA,"Black Tickle, Newfoundland, Canada",53.4640859,-55.7676539
Blackfalds,Alberta,NA,NA,"Blackfalds, Alberta, Canada",52.383333,-113.8
Blackie,Alberta,NA,NA,"Blackie, Alberta, Canada",50.6030153,-113.6177721
Blacks Harbour,New Brunswick,NA,NA,"Blacks Harbour, New Brunswick, Canada",45.058501,-66.7900104
Blackstock,Ontario,NA,NA,"Blackstock, Ontario, Canada",44.1074003,-78.8200172
Blackville,New Brunswick,NA,NA,"Blackville, New Brunswick, Canada",46.7351305,-65.8313847
Blaine Lake,Saskatchewan,NA,NA,"Blaine Lake, Saskatchewan, Canada",52.8278099,-106.8778567
Blainville,Quebec,NA,NA,"Blainville, Quebec, Canada",45.67932,-73.87619
Blanc-Sablon,Quebec,NA,NA,"Blanc-Sablon, Quebec, Canada",51.4121624,-57.2018488
Blandford,Nova Scotia,NA,NA,"Blandford, Nova Scotia, Canada",44.491169,-64.1087959
Blenheim,Ontario,NA,NA,"Blenheim, Ontario, Canada",42.3354182,-81.9974055
Blezard Valley,Ontario,NA,NA,"Blezard Valley, Ontario, Canada",46.6086752,-81.0498421
Blind River,Ontario,NA,NA,"Blind River, Ontario, Canada",46.188388,-82.95639
Bloomfield,Ontario,NA,NA,"Bloomfield, Ontario, Canada",43.9863908,-77.2300533
Blue Ridge,Alberta,NA,NA,"Blue Ridge, Alberta, Canada",54.122246,-115.3781467
Blue River,British Columbia,NA,NA,"Blue River, British Columbia, Canada",59.6889994,-129.6463602
Blyth,Ontario,NA,NA,"Blyth, Ontario, Canada",43.7365991,-81.4294024
Bob Quinn Lake,British Columbia,NA,NA,"Bob Quinn Lake, British Columbia, Canada",56.9706973,-130.2675312
Bobcaygeon,Ontario,NA,NA,"Bobcaygeon, Ontario, Canada",44.5372969,-78.5444995
Boiestown,New Brunswick,NA,NA,"Boiestown, New Brunswick, Canada",46.4541554,-66.4170933
Bois-des-Filion,Quebec,NA,NA,"Bois-des-Filion, Quebec, Canada",45.6700776,-73.7549487
Boisbriand,Quebec,NA,NA,"Boisbriand, Quebec, Canada",45.6130248,-73.8386113
Boischatel,Quebec,NA,NA,"Boischatel, Quebec, Canada",46.896801,-71.135788
Boisdale,Nova Scotia,NA,NA,"Boisdale, Nova Scotia, Canada",46.0961172,-60.5082915
Boissevain,Manitoba,NA,NA,"Boissevain, Manitoba, Canada",49.2277728,-100.0594125
Bolton,Ontario,NA,NA,"Bolton, Ontario, Canada",43.879548,-79.73826
Bon Accord,Alberta,NA,NA,"Bon Accord, Alberta, Canada",53.8365209,-113.4123724
Bonanza,Alberta,NA,NA,"Bonanza, Alberta, Canada",55.9124616,-119.8274135
Bonaventure,Quebec,NA,NA,"Bonaventure, Quebec, Canada",45.4981853,-73.5669583
Bonavista,Newfoundland,NA,NA,"Bonavista, Newfoundland, Canada",48.6541763,-53.110338
Bonfield,Ontario,NA,NA,"Bonfield, Ontario, Canada",46.2323763,-79.1477157
Bonne-Esperance,Quebec,NA,NA,"Bonne-Esperance, Quebec, Canada",51.4739221,-57.7079499
Bonnyville,Alberta,NA,NA,"Bonnyville, Alberta, Canada",54.267925,-110.741515
Borden,Ontario,NA,NA,"Borden, Ontario, Canada",43.4423447,-80.4750673
Borden,Prince Edward Island,NA,NA,"Borden, Prince Edward Island, Canada",46.2533283,-63.6931751
Borden,Saskatchewan,NA,NA,"Borden, Saskatchewan, Canada",52.4050653,-107.2386498
Boston Bar,British Columbia,NA,NA,"Boston Bar, British Columbia, Canada",49.8681162,-121.443249
Boswell,British Columbia,NA,NA,"Boswell, British Columbia, Canada",49.461546,-116.7641226
Bothwell,Ontario,NA,NA,"Bothwell, Ontario, Canada",42.6309355,-81.8707447
Botwood,Newfoundland,NA,NA,"Botwood, Newfoundland, Canada",49.14219,-55.343628
Boucherville,Quebec,NA,NA,"Boucherville, Quebec, Canada",45.6050197,-73.4526144
Bouchette,Quebec,NA,NA,"Bouchette, Quebec, Canada",46.2043381,-75.9566471
Bouctouche,New Brunswick,NA,NA,"Bouctouche, New Brunswick, Canada",46.4735119,-64.7236147
Boularderie,Nova Scotia,NA,NA,"Boularderie, Nova Scotia, Canada",46.1645193,-60.5658102
Bourget,Ontario,NA,NA,"Bourget, Ontario, Canada",45.4348751,-75.1578861
Bow Island,Alberta,NA,NA,"Bow Island, Alberta, Canada",49.8696838,-111.3793512
Bowden,Alberta,NA,NA,"Bowden, Alberta, Canada",51.9327066,-114.0345818
Bowen Island,British Columbia,NA,NA,"Bowen Island, British Columbia, Canada",49.3768208,-123.3694644
Bowmanville,Ontario,NA,NA,"Bowmanville, Ontario, Canada",43.9122995,-78.6891675
Bowser,British Columbia,NA,NA,"Bowser, British Columbia, Canada",49.4402737,-124.6882261
Boyd`s Cove,Newfoundland,NA,NA,"Boyd`s Cove, Newfoundland, Canada",49.443867,-54.6581512
Boyle,Alberta,NA,NA,"Boyle, Alberta, Canada",54.590833,-112.809167
Bracebridge,Ontario,NA,NA,"Bracebridge, Ontario, Canada",45.041508,-79.310989
Bradford,Ontario,NA,NA,"Bradford, Ontario, Canada",44.1171265,-79.5560133
Bradford West Gwillimbury,Ontario,NA,NA,"Bradford West Gwillimbury, Ontario, Canada",44.1142354,-79.5647731
Braeside,Ontario,NA,NA,"Braeside, Ontario, Canada",45.4611416,-76.4019926
Bragg Creek,Alberta,NA,NA,"Bragg Creek, Alberta, Canada",50.9527622,-114.5638491
Brampton,Ontario,NA,NA,"Brampton, Ontario, Canada",43.685832,-79.7599366
Branch,Newfoundland,NA,NA,"Branch, Newfoundland, Canada",46.8824939,-53.9533185
Brandon,Manitoba,NA,NA,"Brandon, Manitoba, Canada",49.8511143,-99.9608924
Brantford,Ontario,NA,NA,"Brantford, Ontario, Canada",43.1408157,-80.2631733
Breakeyville,Quebec,NA,NA,"Breakeyville, Quebec, Canada",46.6746813,-71.2267122
Brechin,Ontario,NA,NA,"Brechin, Ontario, Canada",44.5467964,-79.1762435
Bredenbury,Saskatchewan,NA,NA,"Bredenbury, Saskatchewan, Canada",50.9443098,-102.0454237
Brent`s Cove,Newfoundland,NA,NA,"Brent`s Cove, Newfoundland, Canada",49.93708,-55.71167
Breslau,Ontario,NA,NA,"Breslau, Ontario, Canada",43.4749611,-80.4127316
Breton,Alberta,NA,NA,"Breton, Alberta, Canada",53.1107791,-114.4714876
Bridge Lake,British Columbia,NA,NA,"Bridge Lake, British Columbia, Canada",51.5050165,-120.7465434
Bridgenorth,Ontario,NA,NA,"Bridgenorth, Ontario, Canada",44.3793451,-78.3849347
Bridgetown,Nova Scotia,NA,NA,"Bridgetown, Nova Scotia, Canada",44.8414196,-65.2901844
Bridgewater,Nova Scotia,NA,NA,"Bridgewater, Nova Scotia, Canada",44.3774134,-64.5193946
Briercrest,Saskatchewan,NA,NA,"Briercrest, Saskatchewan, Canada",50.1649743,-105.2631404
Brigden,Ontario,NA,NA,"Brigden, Ontario, Canada",42.8119213,-82.2828078
Brigham,Quebec,NA,NA,"Brigham, Quebec, Canada",45.2463988,-72.8454198
Bright,Ontario,NA,NA,"Bright, Ontario, Canada",43.2715588,-80.6577689
Brighton,Ontario,NA,NA,"Brighton, Ontario, Canada",44.0422275,-77.7370071
Brights Grove,Ontario,NA,NA,"Brights Grove, Ontario, Canada",43.0335122,-82.2488328
Brigus,Newfoundland,NA,NA,"Brigus, Newfoundland, Canada",47.5360473,-53.2096473
Britannia Beach,British Columbia,NA,NA,"Britannia Beach, British Columbia, Canada",49.626392,-123.206005
Britt,Ontario,NA,NA,"Britt, Ontario, Canada",45.7749186,-80.5562007
Broadview,Saskatchewan,NA,NA,"Broadview, Saskatchewan, Canada",50.3789235,-102.583995
Brochet,Manitoba,NA,NA,"Brochet, Manitoba, Canada",57.8808266,-101.671508
Brock,Saskatchewan,NA,NA,"Brock, Saskatchewan, Canada",51.4412074,-108.7179691
Brocket,Alberta,NA,NA,"Brocket, Alberta, Canada",49.5501366,-113.7494915
Brockville,Ontario,NA,NA,"Brockville, Ontario, Canada",44.6039207,-75.7016829
Brome,Quebec,NA,NA,"Brome, Quebec, Canada",45.189207,-72.5628566
Bromont,Quebec,NA,NA,"Bromont, Quebec, Canada",45.3187339,-72.6463074
Bromptonville,Quebec,NA,NA,"Bromptonville, Quebec, Canada",45.4749156,-71.9428879
Brookdale,Manitoba,NA,NA,"Brookdale, Manitoba, Canada",49.8580531,-97.3018931
Brookfield,Nova Scotia,NA,NA,"Brookfield, Nova Scotia, Canada",45.2657208,-63.2136137
Brooklin,Ontario,NA,NA,"Brooklin, Ontario, Canada",43.9587134,-78.9600543
Brooks,Alberta,NA,NA,"Brooks, Alberta, Canada",50.571027,-111.893005
Brossard,Quebec,NA,NA,"Brossard, Quebec, Canada",45.4554579,-73.4678695
Browns Flat,New Brunswick,NA,NA,"Browns Flat, New Brunswick, Canada",45.4815291,-66.1635323
Brownsburg,Quebec,NA,NA,"Brownsburg, Quebec, Canada",45.676516,-74.4046061
Brownsville,Ontario,NA,NA,"Brownsville, Ontario, Canada",43.9282093,-78.5424748
Brownvale,Alberta,NA,NA,"Brownvale, Alberta, Canada",56.1285564,-117.892811
Bruce Mines,Ontario,NA,NA,"Bruce Mines, Ontario, Canada",46.3005554,-83.7911111
Bruderheim,Alberta,NA,NA,"Bruderheim, Alberta, Canada",53.8019065,-112.9281172
Bruno,Saskatchewan,NA,NA,"Bruno, Saskatchewan, Canada",52.2663037,-105.5189092
Brussels,Ontario,NA,NA,"Brussels, Ontario, Canada",43.7433558,-81.2506263
Bryson,Quebec,NA,NA,"Bryson, Quebec, Canada",45.6772459,-76.6217075
Buchanan,Saskatchewan,NA,NA,"Buchanan, Saskatchewan, Canada",51.7037827,-102.7555988
Buchans,Newfoundland,NA,NA,"Buchans, Newfoundland, Canada",48.8241243,-56.8608253
Buckhorn,Ontario,NA,NA,"Buckhorn, Ontario, Canada",44.5567327,-78.3484101
Buckingham,Quebec,NA,NA,"Buckingham, Quebec, Canada",45.5864671,-75.4168252
Buffalo Narrows,Saskatchewan,NA,NA,"Buffalo Narrows, Saskatchewan, Canada",55.863418,-108.480754
Burdett,Alberta,NA,NA,"Burdett, Alberta, Canada",49.8329595,-111.521014
Burford,Ontario,NA,NA,"Burford, Ontario, Canada",43.1032142,-80.4292701
Burgeo,Newfoundland,NA,NA,"Burgeo, Newfoundland, Canada",47.612504,-57.6095399
Burgessville,Ontario,NA,NA,"Burgessville, Ontario, Canada",43.0237874,-80.653369
Burin,Newfoundland,NA,NA,"Burin, Newfoundland, Canada",47.0367243,-55.1666274
Burk`s Falls,Ontario,NA,NA,"Burk`s Falls, Ontario, Canada",45.6202986,-79.4088891
Burleigh Falls,Ontario,NA,NA,"Burleigh Falls, Ontario, Canada",44.5580152,-78.2061501
Burlington,Newfoundland,NA,NA,"Burlington, Newfoundland, Canada",49.7572067,-56.0075685
Burlington,Ontario,NA,NA,"Burlington, Ontario, Canada",43.3248924,-79.7966835
Burnaby,British Columbia,NA,NA,"Burnaby, British Columbia, Canada",49.2433804,-122.972545
Burns Lake,British Columbia,NA,NA,"Burns Lake, British Columbia, Canada",54.230269,-125.7645032
Burnt Islands,Newfoundland,NA,NA,"Burnt Islands, Newfoundland, Canada",47.6032562,-58.8757901
Burstall,Saskatchewan,NA,NA,"Burstall, Saskatchewan, Canada",50.6557742,-109.9077194
Burwash Landing,Yukon,NA,NA,"Burwash Landing, Yukon, Canada",61.3513197,-139.0094591
Bury,Quebec,NA,NA,"Bury, Quebec, Canada",45.4736374,-71.5011399
Byemoor,Alberta,NA,NA,"Byemoor, Alberta, Canada",51.9809911,-112.2877317
Cabano,Quebec,NA,NA,"Cabano, Quebec, Canada",47.6836969,-68.8853408
Cabri,Saskatchewan,NA,NA,"Cabri, Saskatchewan, Canada",50.6187301,-108.4611856
Cache Bay,Ontario,NA,NA,"Cache Bay, Ontario, Canada",46.3737816,-79.9885393
Cache Creek,British Columbia,NA,NA,"Cache Creek, British Columbia, Canada",50.8131736,-121.3242108
Cacouna,Quebec,NA,NA,"Cacouna, Quebec, Canada",47.9174004,-69.4976141
